Player,Comp,Age,Min,Gls,Ast,Pos,Tkl,Int,Clr,Blocks,Succ,Carries,KP,xG,xAG,Club
Moritz-Broni Kwarteng,de Bundesliga,26.0,172,0,0,"MF,FW",4,0,1,7,6,63,4,0.2,0.2,
Giorgos Kyriakopoulos,it Serie A,28.0,2845,2,4,DF,43,23,79,39,16,865,41,0.9,3.3,
Luca de la Torre,es La Liga,26.0,4,0,0,MF,0,0,0,0,0,5,0,0.0,0.0,
Rémy Labeau Lascary,fr Ligue 1,21.0,637,2,1,"FW,MF",16,1,7,3,12,162,7,2.5,1.1,
Gaëtan Laborde,fr Ligue 1,30.0,1829,11,4,FW,19,6,20,15,18,362,27,11.7,3.5,
Nediljko Labrović,de Bundesliga,24.0,1350,0,0,GK,0,0,12,1,0,306,0,0.0,0.0,
Alexandre Lacazette,fr Ligue 1,33.0,2051,15,2,FW,13,8,7,20,14,418,26,16.3,3.4,
Younes Lachaab,fr Ligue 1,19.0,9,0,0,"MF,FW",1,1,0,1,1,3,0,0.1,0.0,
Maxence Lacroix,eng Premier League,24.0,3116,1,1,DF,68,54,207,12,8,1030,8,3.4,1.0,
Alban Lafont,fr Ligue 1,25.0,1080,0,0,GK,1,0,8,1,0,228,2,0.0,0.0,
Yoel Lago,es La Liga,20.0,583,0,1,DF,12,4,30,1,3,289,1,0.0,0.1,
Konrad Laimer,de Bundesliga,27.0,1699,2,2,DF,49,8,24,28,17,816,20,2.1,2.7,
Stefan Lainer,de Bundesliga,31.0,757,1,0,DF,22,12,30,8,5,288,9,0.3,1.0,
Kenny Lala,fr Ligue 1,32.0,2686,3,2,DF,66,25,75,44,15,1054,41,3.0,4.3,
Adam Lallana,eng Premier League,36.0,361,0,2,MF,8,5,5,3,5,178,4,0.2,0.9,
Mathis Lambourde,it Serie A,18.0,89,1,0,"FW,MF",3,0,1,1,1,24,1,0.2,0.1,
Mohamed Lamine Bayo,fr Ligue 1,26.0,309,2,1,FW,1,0,4,2,2,59,4,2.2,0.5,
Tariq Lamptey,eng Premier League,23.0,860,2,2,DF,17,7,23,6,10,292,5,0.4,0.8,
Will Lankshear,eng Premier League,19.0,11,0,0,"FW,MF",0,0,0,0,0,3,0,0.0,0.0,
Gianluca Lapadula,it Serie A,34.0,310,0,0,"FW,MF",2,0,1,4,2,43,3,1.4,0.1,
Cyle Larin,es La Liga,29.0,1764,7,2,FW,12,1,16,11,8,316,8,6.9,1.4,
Gautier Larsonneur,fr Ligue 1,27.0,3060,0,0,GK,1,0,25,0,0,712,1,0.0,0.0,
Hugo Larsson,de Bundesliga,20.0,2393,3,1,MF,47,30,35,17,12,803,21,3.1,2.1,
Juanmi Latasa,es La Liga,23.0,1398,3,0,FW,4,0,11,1,8,153,13,4.2,0.9,
Toni Lato,es La Liga,26.0,621,0,0,DF,17,6,33,5,0,155,6,0.0,0.4,
Roméo Lavia,eng Premier League,20.0,797,0,1,MF,22,16,10,1,10,295,7,0.3,0.7,
Valentino Lazaro,it Serie A,28.0,2307,0,6,"DF,FW",26,11,38,27,14,726,33,1.0,3.3,
Darko Lazović,it Serie A,33.0,1459,2,3,"DF,MF",21,11,39,23,7,318,18,2.5,3.4,
Manuel Lazzari,it Serie A,30.0,1406,0,1,DF,26,10,19,23,15,518,20,0.1,1.3,
Julien Le Cardinal,fr Ligue 1,26.0,1378,0,1,DF,27,33,75,2,4,539,5,0.4,0.3,
Jérémy Le Douaron,fr Ligue 1,26.0,102,0,0,FW,1,0,0,0,0,13,0,0.2,0.0,
Enzo Le Fée,it Serie A,24.0,318,0,0,MF,7,5,2,1,4,204,3,0.2,0.1,
Robin Le Normand,es La Liga,27.0,2151,1,0,DF,27,10,120,3,2,1001,3,1.5,0.5,
Nicola Leali,it Serie A,31.0,2610,0,0,GK,0,0,14,2,0,523,0,0.0,0.0,
Rafael Leão,it Serie A,25.0,2323,8,8,FW,16,6,4,27,59,780,58,7.6,8.4,
Benjamin Lecomte,fr Ligue 1,33.0,2700,0,0,GK,0,0,18,1,0,595,3,0.0,0.1,
Pierre Lees-Melou,fr Ligue 1,31.0,1526,2,2,MF,48,12,23,19,12,697,19,1.3,2.8,
Jordan Lefort,fr Ligue 1,30.0,3060,0,1,DF,52,32,206,21,8,1196,10,0.6,1.1,
Diogo Leite,de Bundesliga,25.0,2546,1,2,DF,64,57,162,19,10,853,13,1.4,1.0,
Maxim Leitsch,de Bundesliga,26.0,674,1,0,DF,12,10,42,2,0,173,2,1.2,0.2,
Florian Lejeune,es La Liga,33.0,3325,2,3,DF,46,41,181,19,4,1469,14,3.6,1.9,
Stefan Lekovic,it Serie A,20.0,367,0,0,DF,9,7,5,2,2,128,0,0.1,0.0,
Iñigo Lekue,es La Liga,31.0,773,0,0,DF,15,9,29,6,6,245,8,0.2,0.5,
Nunzio Lella,it Serie A,24.0,5,0,0,MF,0,0,0,0,0,2,0,0.0,0.0,
Thomas Lemar,es La Liga,28.0,85,0,0,MF,2,0,1,1,0,55,2,0.3,0.2,
Félix Lemaréchal,fr Ligue 1,20.0,1779,4,3,"MF,FW",35,14,19,20,24,466,29,3.5,2.9,
Mario Lemina,eng Premier League,30.0,1364,1,3,"MF,DF",51,27,50,7,10,382,10,1.4,1.1,
Clément Lenglet,es La Liga,29.0,1972,2,1,DF,27,22,104,13,3,1065,5,2.4,1.1,
Bernd Leno,eng Premier League,32.0,3420,0,1,GK,2,0,11,1,0,955,2,0.0,0.1,
Donovan Léon,fr Ligue 1,31.0,2880,0,2,GK,0,0,26,0,2,708,3,0.0,0.4,
Giovanni Leoni,it Serie A,17.0,1199,1,0,DF,14,15,63,4,3,449,1,0.1,0.0,
Esteban Lepaul,fr Ligue 1,24.0,1629,9,0,FW,11,4,10,15,6,246,7,5.1,0.8,
Johann Lepenant,fr Ligue 1,21.0,2048,2,1,MF,68,18,25,30,18,502,8,1.4,0.9,
Jefferson Lerma,eng Premier League,29.0,2274,0,1,"MF,DF",35,42,80,22,7,649,10,1.1,1.6,
Louis Leroux,fr Ligue 1,18.0,816,2,1,"MF,DF",25,8,19,8,8,214,12,1.5,1.3,
Robert Lewandowski,es La Liga,35.0,2667,27,2,FW,10,3,26,22,20,472,19,27.1,2.3,
Jamie Leweling,de Bundesliga,23.0,1663,2,2,"MF,FW",16,11,17,31,41,540,25,1.6,3.8,
Rico Lewis,eng Premier League,19.0,1893,1,2,"DF,MF",30,13,45,22,9,865,7,1.4,0.3,
Keane Lewis-Potter,eng Premier League,23.0,3093,1,3,"DF,FW",49,21,76,29,41,868,26,3.1,3.2,
Myles Lewis-Skelly,eng Premier League,17.0,1369,1,0,DF,22,7,27,2,12,526,8,0.2,0.4,
Ben Lhassine Kone,it Serie A,24.0,51,0,0,MF,2,1,1,0,1,25,0,0.0,0.0,
Mattia Liberali,it Serie A,17.0,61,0,0,MF,2,0,0,2,0,30,1,0.1,0.0,
Philipp Lienhart,de Bundesliga,28.0,2770,1,0,DF,22,36,124,12,4,1444,6,0.5,0.8,
Matthijs de Ligt,eng Premier League,24.0,2123,2,0,DF,30,33,96,11,2,1078,6,2.5,0.3,
Pedro Lima,eng Premier League,18.0,70,0,0,DF,1,2,5,2,1,22,2,0.1,0.1,
Victor Lindelöf,eng Premier League,30.0,704,0,0,DF,7,8,36,1,0,263,3,0.0,0.1,
Jesper Lindstrøm,eng Premier League,24.0,1239,0,1,FW,45,12,17,18,8,302,19,2.1,2.0,
Karol Linetty,it Serie A,29.0,1540,1,0,MF,39,12,31,9,7,397,10,1.1,0.9,
Samuel Lino,es La Liga,24.0,1552,3,4,"MF,DF",33,8,13,31,27,678,22,6.0,2.9,
Pol Lirola,fr Ligue 1,26.0,680,1,2,DF,13,4,12,13,1,248,8,0.6,0.7,
Dailon Livramento,it Serie A,23.0,940,1,1,"FW,MF",15,3,9,14,6,161,8,1.8,0.9,
Valentino Livramento,eng Premier League,21.0,2840,0,1,DF,54,23,108,27,25,1023,25,0.3,2.6,
Marin Ljubicic,de Bundesliga,22.0,281,1,1,"FW,MF",2,0,7,3,1,52,2,0.4,0.6,
Javier Llabrés,es La Liga,21.0,57,0,0,FW,0,0,0,0,0,17,1,0.0,0.1,
Diego Llorente,es La Liga,30.0,2519,2,0,DF,36,43,154,9,6,1127,6,1.5,0.3,
Marcos Llorente,es La Liga,29.0,2513,2,4,"DF,MF",69,27,51,34,14,1116,28,0.8,4.3,
Gautier Lloris,fr Ligue 1,29.0,2768,2,1,DF,68,34,192,10,4,1028,5,1.2,0.9,
Giovani Lo Celso,es La Liga,28.0,1457,8,3,"MF,FW",34,5,3,21,21,702,43,4.8,4.9,
Stanislav Lobotka,it Serie A,29.0,2636,0,1,MF,47,21,57,10,8,1123,17,0.3,1.2,
Manuel Locatelli,it Serie A,26.0,2822,2,2,MF,72,23,77,14,8,1559,29,1.8,2.5,
Bradley Locko,fr Ligue 1,22.0,97,0,0,DF,2,1,3,3,1,27,0,0.0,0.0,
Ruben Loftus-Cheek,it Serie A,28.0,1037,0,0,MF,19,3,20,4,11,362,16,0.7,1.9,
Elysée Logbo,fr Ligue 1,20.0,27,0,0,FW,0,0,0,0,0,5,0,0.2,0.0,
Enzo Loiodice,es La Liga,23.0,684,0,0,MF,17,10,7,11,4,279,5,0.3,0.2,
Sean Longstaff,eng Premier League,26.0,798,0,0,MF,27,7,8,12,2,248,4,0.6,0.2,
Ademola Lookman,it Serie A,26.0,2247,15,5,"MF,FW",32,3,5,35,37,827,61,10.3,7.1,
Anthony Lopes,fr Ligue 1,33.0,1563,0,0,GK,1,1,7,0,0,320,0,0.0,0.0,
David López,es La Liga,21.0,169,0,0,DF,3,1,10,1,0,38,0,0.0,0.0,
David López,es La Liga,34.0,2429,1,1,DF,32,14,111,8,6,1405,4,0.9,0.6,
Diego López,es La Liga,22.0,2737,8,5,"MF,FW",31,16,15,47,23,715,38,6.6,5.0,
Fer López,es La Liga,,671,2,0,"FW,MF",9,2,7,5,18,264,14,2.7,1.9,
Fermin López,es La Liga,21.0,1252,6,5,"MF,FW",19,5,3,12,25,490,29,5.6,3.9,
Javi López,es La Liga,22.0,1936,0,0,DF,40,11,59,27,18,571,5,0.1,0.4,
Pau López,es La Liga,29.0,45,0,0,GK,0,0,1,0,0,17,0,0.0,0.0,
Roberto López,es La Liga,24.0,396,0,1,MF,8,1,7,6,2,122,10,0.5,0.9,
Unai López,es La Liga,28.0,1707,3,1,MF,31,21,20,19,15,828,19,1.6,1.0,
Iker Losada,es La Liga,22.0,358,1,0,"FW,MF",3,1,8,4,2,87,5,1.1,0.3,
Iker Losada,es La Liga,22.0,336,0,0,"MF,FW",10,3,2,6,2,101,6,0.5,0.3,
Anthony Losilla,de Bundesliga,38.0,1137,0,0,MF,30,18,27,8,1,223,7,0.1,0.4,
Jordan Lotomba,fr Ligue 1,25.0,35,0,0,"MF,DF",0,0,1,0,1,19,0,0.0,0.0,
Tom Louchet,fr Ligue 1,21.0,775,1,0,"DF,MF",27,18,20,10,4,246,14,0.8,1.2,
Sandi Lovrić,it Serie A,26.0,2308,2,3,MF,46,22,27,17,21,670,32,2.6,3.4,
Pol Lozano,es La Liga,24.0,1943,0,1,MF,53,22,31,14,5,506,17,0.2,0.8,
Lorenzo Lucca,it Serie A,23.0,2353,12,1,FW,10,7,27,10,12,350,14,7.6,1.6,
Jhon Lucumí,it Serie A,26.0,2614,0,1,DF,53,26,88,7,10,1464,8,0.6,0.4,
Yannik Lührs,de Bundesliga,20.0,127,0,0,DF,1,2,4,1,0,131,1,0.0,0.0,
José Luis Gayà,es La Liga,29.0,1803,0,1,DF,57,25,61,20,7,555,24,1.0,2.6,
José Luis Palomino,it Serie A,34.0,1081,1,0,DF,27,22,46,5,0,384,1,0.5,0.0,
Douglas Luiz,it Serie A,26.0,529,0,0,MF,13,4,5,1,11,276,15,0.6,1.0,
Romelu Lukaku,it Serie A,31.0,2843,14,10,FW,4,1,17,21,6,380,35,13.0,4.0,
Castello Lukeba,de Bundesliga,21.0,1577,0,0,DF,31,17,74,22,20,806,4,0.4,0.2,
Dodi Lukebakio,es La Liga,26.0,3092,11,2,FW,22,11,17,30,84,889,54,10.1,4.5,
Saša Lukić,eng Premier League,27.0,2344,0,2,MF,68,28,35,23,8,825,26,1.2,2.7,
Milos Lukovic,fr Ligue 1,18.0,12,0,0,"FW,MF",0,0,0,0,0,3,0,0.0,0.0,
Joe Lumley,eng Premier League,29.0,270,0,0,GK,0,0,3,0,0,103,0,0.0,0.0,
Daniel Luna,es La Liga,21.0,20,0,0,MF,0,0,0,0,1,11,0,0.0,0.0,
Andriy Lunin,es La Liga,25.0,630,0,1,GK,1,0,3,1,0,116,1,0.0,0.9,
Massimo Luongo,eng Premier League,31.0,201,0,0,MF,9,2,2,1,0,46,0,0.0,0.0,
Sebastiano Luperto,it Serie A,27.0,3240,1,3,DF,48,33,161,12,1,1060,8,2.2,1.3,
Zito Luvumbo,it Serie A,22.0,1606,2,2,"FW,MF",10,4,4,16,25,347,17,2.1,3.1,
Charalambos Lykogiannis,it Serie A,30.0,1048,0,4,DF,23,11,41,20,4,368,19,0.2,1.6,
Senne Lynen,de Bundesliga,25.0,2733,0,1,MF,72,65,75,16,12,849,8,1.1,0.6,
Mathias Løvik,it Serie A,20.0,92,0,0,"DF,FW",1,2,3,2,2,42,1,0.1,0.1,
Othmane Maamma,fr Ligue 1,18.0,361,1,1,"FW,MF",3,1,2,2,7,95,3,0.7,0.2,
Ian Maatsen,eng Premier League,22.0,1139,1,2,DF,29,15,39,25,13,505,19,0.9,2.7,
Alexis Mac Allister,eng Premier League,25.0,2599,5,5,MF,95,22,29,31,16,914,45,2.8,4.7,
Deiver Machado,fr Ligue 1,30.0,1805,1,4,"DF,MF",36,16,34,16,23,605,20,2.3,2.1,
Lanroy Machine,fr Ligue 1,18.0,8,0,0,FW,0,0,0,0,0,4,0,0.1,0.0,
Shuto Machino,de Bundesliga,24.0,1953,11,2,"FW,MF",8,7,28,27,10,449,27,6.5,3.0,
Darwin Machís,es La Liga,31.0,639,0,1,"MF,FW",5,5,13,7,5,173,8,0.9,0.5,
Yvann Macon,fr Ligue 1,25.0,790,0,0,DF,19,2,10,11,9,256,6,0.3,0.2,
James Maddison,eng Premier League,27.0,1809,9,7,MF,31,12,19,15,33,1026,41,5.8,4.2,
Eros Maddy,fr Ligue 1,23.0,15,0,0,DF,0,0,0,0,0,7,1,0.0,0.1,
Noni Madueke,eng Premier League,22.0,2033,7,3,FW,25,10,11,15,45,641,32,9.6,4.2,
Pablo Maffeo,es La Liga,27.0,2368,0,2,DF,60,25,103,33,40,671,29,0.3,4.1,
Gabriel Magalhães,eng Premier League,26.0,2363,3,1,DF,25,16,93,8,4,1116,13,2.6,0.9,
Soungoutou Magassa,fr Ligue 1,20.0,1025,0,1,MF,47,21,19,9,15,386,7,0.5,0.9,
Edmond-Paris Maghoma,eng Premier League,23.0,119,0,0,"MF,FW",2,1,2,2,3,68,1,0.1,0.1,
Giangiacomo Magnani,it Serie A,28.0,1065,1,0,DF,20,17,73,2,1,251,1,1.1,0.0,
Hugo Magnetti,fr Ligue 1,26.0,2323,1,0,MF,52,18,37,17,9,694,6,0.8,0.4,
Frank Magri,fr Ligue 1,24.0,1516,5,1,"FW,MF",8,4,11,9,4,244,9,6.0,1.5,
Harry Maguire,eng Premier League,31.0,1758,1,0,DF,30,40,78,5,2,782,9,1.8,0.6,
Jon Magunazelaia,es La Liga,23.0,7,0,0,MF,1,0,0,1,0,9,0,0.0,0.0,
Arne Maier,de Bundesliga,25.0,938,0,0,MF,13,6,14,17,7,390,25,1.5,1.5,
Mike Maignan,it Serie A,29.0,3294,0,0,GK,0,0,19,1,1,1026,5,0.0,0.8,
Patrick Mainka,de Bundesliga,29.0,3060,1,1,DF,58,68,206,17,6,1171,7,1.9,0.3,
Kobbie Mainoo,eng Premier League,19.0,1651,0,0,MF,46,19,14,17,23,652,14,0.7,1.6,
Ainsley Maitland-Niles,fr Ligue 1,26.0,1985,1,4,DF,71,25,61,28,17,750,27,2.9,3.4,
Radosław Majecki,fr Ligue 1,24.0,1350,0,0,GK,0,0,8,0,0,233,0,0.0,0.0,
Lovro Majer,de Bundesliga,26.0,304,2,1,MF,2,1,2,3,5,111,8,1.4,1.1,
Hamidou Makalou,fr Ligue 1,18.0,32,0,0,"FW,MF",0,0,0,0,1,16,0,0.0,0.0,
Jordy Makengo,de Bundesliga,22.0,745,0,0,DF,16,7,29,3,4,203,2,0.0,0.2,
Antoine Makoumbou,it Serie A,26.0,2150,0,3,MF,42,17,28,11,10,818,8,0.3,0.9,
Nikola Maksimović,fr Ligue 1,32.0,581,0,0,DF,9,6,30,2,2,214,2,0.0,0.0,
Tyrell Malacia,eng Premier League,24.0,100,0,0,DF,2,1,1,2,1,37,1,0.0,0.0,
Jarzinho Malanga,de Bundesliga,18.0,2,0,0,DF,0,0,0,0,0,1,0,0.0,0.0,
Julián Malatini,de Bundesliga,23.0,454,1,1,DF,11,7,17,4,2,224,2,0.2,0.5,
Daniel Maldini,it Serie A,22.0,1306,3,0,"MF,FW",14,4,12,14,30,388,12,4.8,0.9,
Daniel Maldini,it Serie A,22.0,258,3,0,"FW,MF",2,2,3,5,6,95,3,1.9,0.2,
Youssef Maleh,it Serie A,25.0,1510,0,1,MF,45,16,25,12,4,299,12,0.9,0.9,
Donyell Malen,eng Premier League,25.0,305,3,0,FW,7,0,1,3,4,79,3,2.2,0.2,
Donyell Malen,de Bundesliga,25.0,614,3,0,"FW,MF",0,3,6,10,11,187,1,2.9,0.2,
Ruslan Malinovskyi,it Serie A,31.0,383,0,2,"MF,FW",12,1,4,4,3,151,8,0.2,1.5,
Lennard Maloney,de Bundesliga,24.0,760,0,0,MF,20,14,38,6,1,147,1,0.3,0.0,
Lennard Maloney,de Bundesliga,24.0,26,0,0,MF,2,0,3,1,0,5,0,0.0,0.0,
Aaron Malouda,fr Ligue 1,18.0,2,0,0,FW,0,0,0,0,0,1,0,0.0,0.0,
Giorgi Mamardashvili,es La Liga,23.0,3060,0,0,GK,2,1,16,1,0,574,2,0.0,0.1,
Dennis Man,it Serie A,25.0,1995,4,4,"FW,MF",13,8,11,28,25,665,45,5.5,4.2,
Hianga Mananga Mbock,fr Ligue 1,24.0,21,0,0,MF,0,1,0,0,0,14,0,0.0,0.0,
Gianluca Mancini,it Serie A,28.0,3143,2,0,DF,42,35,103,19,1,1341,14,1.7,0.9,
Steve Mandanda,fr Ligue 1,39.0,1486,0,0,GK,0,0,6,0,2,305,2,0.0,0.1,
Christos Mandas,it Serie A,22.0,810,0,0,GK,0,0,4,0,0,237,0,0.0,0.0,
Reinildo Mandava,es La Liga,30.0,941,0,0,DF,18,16,35,7,4,421,2,0.1,0.1,
Aïssa Mandi,fr Ligue 1,32.0,1733,0,0,DF,31,15,54,7,3,736,5,0.3,0.4,
Rolando Mandragora,it Serie A,27.0,1856,4,2,MF,23,15,54,17,7,580,31,2.7,4.8,
Mateus Mane,eng Premier League,,2,0,0,MF,0,0,0,0,0,2,0,0.0,0.0,
Orel Mangala,eng Premier League,26.0,1261,1,0,MF,16,21,24,10,14,298,8,1.1,0.6,
Orel Mangala,fr Ligue 1,26.0,67,0,0,MF,1,0,1,2,0,26,1,0.1,0.0,
Ryan Manning,eng Premier League,28.0,1462,0,1,"DF,MF",28,17,47,21,11,483,34,0.3,3.2,
Javier Manquillo,es La Liga,30.0,515,0,0,DF,7,7,14,5,0,248,0,0.0,0.0,
Johan Manzambi,de Bundesliga,18.0,335,2,1,"FW,MF",8,4,7,3,6,118,3,1.3,0.4,
Alberto Manzoni,it Serie A,19.0,6,0,0,MF,0,0,0,0,0,8,0,0.1,0.0,
Sekou Mara,fr Ligue 1,22.0,768,1,1,"FW,MF",9,3,3,11,11,181,5,2.0,1.0,
Alessandro Marcandalli,it Serie A,21.0,46,0,0,DF,1,0,2,1,0,11,0,0.0,0.0,
Alessandro Marcandalli,it Serie A,21.0,354,0,0,DF,8,2,26,1,0,89,0,0.3,0.0,
Marcão,es La Liga,28.0,552,0,0,DF,10,7,29,4,2,216,0,0.0,0.0,
Solly March,eng Premier League,30.0,168,0,0,"FW,MF",6,2,2,7,1,57,3,0.1,0.3,
Filip Marchwiński,it Serie A,22.0,15,0,0,MF,0,0,0,1,0,3,0,0.0,0.0,
Óscar de Marcos,es La Liga,35.0,1564,0,4,DF,32,16,35,20,4,478,19,1.0,2.6,
Alberto Marí,es La Liga,23.0,7,0,0,FW,0,0,0,0,0,2,0,0.0,0.0,
Pablo Marí,it Serie A,30.0,1628,0,0,DF,26,37,85,2,6,765,3,0.2,0.1,
Pablo Marí,it Serie A,30.0,1098,0,0,DF,14,25,94,2,0,409,0,0.1,0.0,
José María Giménez,es La Liga,29.0,1999,0,1,DF,26,27,115,4,2,1006,2,0.4,0.2,
Luca Marianucci,it Serie A,20.0,1069,0,0,DF,28,19,63,4,5,299,3,0.6,0.2,
Mirko Marić,it Serie A,29.0,106,0,0,"FW,MF",1,1,1,2,1,25,1,0.2,0.0,
Mirko Marić,it Serie A,29.0,356,0,0,FW,6,1,10,0,2,83,2,0.6,0.0,
Arkaitz Mariezkurrena,es La Liga,19.0,241,2,0,"FW,MF",1,1,4,5,3,60,2,1.0,0.1,
Rafa Marín,it Serie A,22.0,142,0,0,DF,1,1,4,0,0,78,0,0.2,0.0,
Pablo Marín,es La Liga,21.0,1239,1,2,MF,25,5,14,11,20,349,14,1.4,1.0,
Răzvan Marin,it Serie A,28.0,1406,3,2,MF,22,2,20,17,13,471,34,2.4,3.6,
Guillermo Maripán,it Serie A,30.0,2340,1,1,DF,40,41,138,9,2,962,5,0.9,1.0,
Mika Mármol,es La Liga,23.0,2399,0,1,DF,61,38,121,24,7,793,16,0.4,1.5,
Omar Marmoush,eng Premier League,25.0,1175,7,0,"FW,MF",13,6,3,3,20,320,15,5.5,2.8,
Omar Marmoush,de Bundesliga,25.0,1448,15,9,FW,12,2,2,10,46,442,34,8.8,6.2,
Mario Maroto,es La Liga,20.0,64,0,1,MF,0,2,2,1,1,22,1,0.0,0.1,
Marquinhos,fr Ligue 1,30.0,1725,2,0,DF,30,11,64,6,3,1335,9,1.1,0.8,
Unai Marrero,es La Liga,22.0,180,0,0,GK,0,0,1,0,0,29,0,0.0,0.0,
Ange Martial Tia,fr Ligue 1,17.0,171,0,0,"MF,DF",4,2,4,0,3,43,2,1.3,0.0,
Aarón Martín,it Serie A,27.0,3085,0,8,DF,71,19,73,30,12,878,65,0.9,5.5,
Carlos Martín,es La Liga,22.0,1333,2,2,"FW,MF",43,5,20,23,9,305,13,2.3,2.7,
Diego Martín,es La Liga,20.0,40,0,0,FW,1,0,1,3,0,10,0,0.0,0.0,
Gerard Martín,es La Liga,22.0,1038,1,3,DF,22,13,27,23,4,413,12,0.5,1.1,
Iván Martín,es La Liga,25.0,2039,1,1,MF,32,11,15,17,25,1044,22,1.8,1.9,
Jon Martin,es La Liga,18.0,904,0,1,DF,11,7,80,3,0,375,4,0.6,0.2,
Jonas Martin,fr Ligue 1,34.0,496,1,0,MF,13,8,12,6,2,169,3,0.4,0.3,
Mario Martín,es La Liga,20.0,1748,0,1,MF,62,21,46,14,19,558,12,1.8,1.4,
Gabriel Martinelli,eng Premier League,23.0,2290,8,4,"FW,MF",23,5,19,37,33,670,40,7.4,5.0,
Arnau Martinez,es La Liga,21.0,2624,2,2,"DF,MF",51,31,76,35,20,1183,18,1.2,2.2,
Emiliano Martínez,eng Premier League,31.0,3194,0,0,GK,3,0,17,0,1,889,2,0.0,0.5,
Iñigo Martínez,es La Liga,33.0,2490,0,4,DF,25,18,108,15,3,1711,16,0.5,2.6,
Javi Martínez,es La Liga,24.0,6,0,0,MF,0,0,0,0,0,6,0,0.0,0.0,
Josep Martinez,it Serie A,26.0,450,0,0,GK,0,0,0,0,0,176,1,0.0,0.1,
Lautaro Martínez,it Serie A,26.0,2474,12,3,FW,30,10,15,21,17,625,36,13.5,4.3,
Lisandro Martínez,eng Premier League,26.0,1751,2,1,DF,40,32,57,7,6,1017,9,1.3,1.1,
Lucas Martínez Quarta,it Serie A,28.0,351,1,0,DF,12,3,25,1,2,181,1,0.7,0.0,
Ramón Martínez,es La Liga,21.0,261,1,0,DF,6,2,23,0,1,85,1,0.3,0.1,
Toni Martínez,es La Liga,27.0,1012,4,0,FW,12,1,15,2,9,162,11,3.6,0.6,
Kevin Martins,it Serie A,19.0,183,0,1,"MF,DF",5,1,4,3,4,51,2,0.0,0.4,
Javi Martón,es La Liga,25.0,53,0,0,"FW,MF",0,0,0,0,0,6,0,0.0,0.0,
Adam Marušić,it Serie A,31.0,2337,4,0,DF,32,16,61,15,10,683,13,2.0,0.6,
Marvin,es La Liga,24.0,1038,0,0,"DF,FW",25,15,34,19,2,309,6,0.2,1.1,
Omar Mascarell,es La Liga,31.0,1992,1,0,MF,27,49,59,10,10,589,3,0.5,0.2,
Adam Masina,it Serie A,30.0,1919,1,2,DF,33,27,95,4,6,853,4,0.7,0.3,
Patrizio Masini,it Serie A,23.0,1538,1,0,MF,54,15,37,24,10,391,6,0.4,0.2,
Giorgos Masouras,de Bundesliga,30.0,1055,2,1,"FW,MF",18,4,3,9,5,220,10,3.9,1.1,
Erhan Mašović,de Bundesliga,25.0,910,1,1,DF,14,12,55,4,0,290,3,0.6,0.9,
Han-Noah Massengo,fr Ligue 1,23.0,1046,0,0,MF,17,17,10,5,10,345,3,0.4,0.4,
Clinton Mata,fr Ligue 1,31.0,2370,0,4,DF,41,46,72,13,14,1168,11,0.2,1.4,
Jaime Mata,es La Liga,35.0,656,0,0,"FW,MF",8,3,11,6,5,118,3,2.6,0.1,
Igor Matanovic,de Bundesliga,21.0,312,1,0,FW,2,1,9,3,3,78,1,1.1,0.0,
Pape Matar Sarr,eng Premier League,21.0,1913,3,2,MF,49,30,25,20,11,772,15,3.7,1.6,
Eliot Matazo,fr Ligue 1,22.0,68,0,0,MF,3,1,2,0,0,23,1,0.0,0.1,
Jean-Philippe Mateta,eng Premier League,27.0,2648,14,2,FW,18,2,23,17,20,400,29,13.5,3.2,
Nemanja Matić,fr Ligue 1,35.0,2010,0,1,MF,42,18,31,18,8,979,17,0.1,1.3,
Rudy Matondo,fr Ligue 1,16.0,66,0,0,MF,1,0,2,1,0,22,0,0.0,0.0,
Chrislain Matsima,de Bundesliga,22.0,2551,1,1,DF,31,52,163,17,7,910,5,1.8,0.3,
Jean Mattéo Bahoya,de Bundesliga,19.0,921,2,3,"MF,FW",29,4,10,12,17,267,18,1.9,1.7,
Alan Matturro,it Serie A,19.0,900,0,0,DF,11,14,38,7,3,218,3,0.2,0.2,
Azor Matusiwa,fr Ligue 1,26.0,2078,1,3,MF,64,34,52,13,17,619,17,1.2,1.8,
Neal Maupay,fr Ligue 1,27.0,1042,4,4,FW,9,2,0,9,6,201,13,4.1,2.2,
Maurides,de Bundesliga,30.0,2,0,0,FW,0,0,0,0,0,1,0,0.0,0.0,
Stephy Mavididi,eng Premier League,26.0,1615,4,1,FW,34,11,15,24,35,583,22,1.8,2.6,
Konstantinos Mavropanos,eng Premier League,26.0,2045,0,0,DF,35,40,126,10,9,864,5,1.5,0.5,
Christian Mawissa,fr Ligue 1,19.0,1501,0,0,DF,42,26,48,12,10,718,1,0.1,0.0,
Keke Maximilian Topp,de Bundesliga,20.0,252,2,2,"FW,MF",3,1,4,7,3,81,10,1.0,2.0,
Borja Mayoral,es La Liga,27.0,1114,5,1,FW,5,2,6,7,6,209,8,3.4,0.9,
Senny Mayulu,fr Ligue 1,18.0,808,2,2,MF,25,5,12,12,15,341,12,2.9,2.1,
Noussair Mazraoui,eng Premier League,26.0,2838,0,1,DF,115,34,95,35,26,1172,20,0.7,1.5,
