Player,Comp,Age,Min,Gls,Ast,Pos,Tkl,Int,Clr,Blocks,Succ,Carries,KP,xG,xAG,Club
Pontus Almqvist,it Serie A,25.0,1112,1,1,"FW,MF",17,19,8,11,20,298,10,2.1,1.3,
Marcos Alonso,es La Liga,33.0,2647,3,0,DF,35,34,126,24,16,1733,21,4.0,1.3,
Giorgio Altare,it Serie A,25.0,753,0,0,DF,13,17,49,2,5,235,1,0.2,0.1,
Adrià Altimira,es La Liga,23.0,1630,0,0,"DF,FW",41,15,54,11,10,370,11,0.3,0.5,
Sergi Altimira,es La Liga,22.0,1972,0,1,MF,61,24,43,17,16,908,22,1.7,1.7,
Olabade Aluko,eng Premier League,,2,0,0,DF,1,0,0,0,0,2,0,0.0,0.0,
Edson Álvarez,eng Premier League,26.0,1772,0,1,MF,50,18,46,10,14,687,12,0.4,0.8,
Hugo Álvarez,es La Liga,21.0,1572,4,3,"MF,DF",26,8,29,33,32,726,17,2.5,1.1,
Julián Álvarez,es La Liga,24.0,2509,17,4,FW,25,2,12,31,34,776,41,14.1,5.3,
Yeray Álvarez,es La Liga,29.0,1781,1,0,DF,25,34,129,13,6,792,4,0.5,0.2,
Skelly Alvero,de Bundesliga,22.0,236,0,0,MF,11,2,10,3,2,70,0,0.0,0.0,
Will Alves,eng Premier League,19.0,1,0,0,FW,0,0,0,0,0,1,0,0.0,0.0,
Selim Amallah,es La Liga,27.0,1376,3,1,MF,30,14,5,9,33,308,13,3.5,1.1,
Harry Amass,eng Premier League,17.0,346,0,0,DF,6,2,11,3,3,132,1,0.1,0.0,
Amath,es La Liga,28.0,375,0,1,"FW,DF",2,2,6,7,7,103,6,0.4,0.5,
Jordan Amavi,fr Ligue 1,30.0,790,0,0,DF,24,7,18,13,7,309,6,0.3,0.2,
Aurele Amenda,de Bundesliga,21.0,96,0,0,DF,1,2,11,2,1,46,1,0.0,0.3,
Kelvin Amian,fr Ligue 1,26.0,2165,1,0,DF,55,13,85,24,13,544,13,1.0,0.8,
Michael Amir Murillo,fr Ligue 1,28.0,2437,1,3,DF,49,18,70,32,14,1169,24,1.5,3.3,
Nadiem Amiri,de Bundesliga,27.0,2473,7,5,MF,50,16,30,36,32,1134,63,5.5,6.6,
Samuel Amo-Ameyaw,eng Premier League,18.0,28,0,0,"FW,DF",1,0,0,0,0,11,1,0.0,0.1,
Samuel Amo-Ameyaw,fr Ligue 1,18.0,320,2,0,"DF,MF",5,3,2,3,5,94,5,0.7,0.6,
Mathis Amougou,eng Premier League,18.0,8,0,0,MF,0,0,0,0,0,7,0,0.0,0.0,
Mathis Amougou,fr Ligue 1,18.0,859,0,0,MF,21,12,4,4,5,242,7,0.5,0.4,
Mohamed Amoura,de Bundesliga,24.0,2467,10,9,FW,29,9,24,42,37,628,35,8.7,4.0,
Sofyan Amrabat,it Serie A,27.0,180,0,0,MF,3,0,2,0,0,84,2,0.0,0.1,
Joachim Andersen,eng Premier League,28.0,90,0,0,DF,1,0,7,0,0,49,0,0.0,0.0,
Joachim Andersen,eng Premier League,28.0,2583,0,0,DF,27,34,188,8,4,1350,4,1.0,0.5,
Elliot Anderson,eng Premier League,21.0,2728,2,6,MF,92,31,76,35,36,932,37,2.1,3.3,
André,eng Premier League,23.0,2472,0,0,MF,91,37,30,14,16,912,18,0.4,0.8,
